puuid,region
Ot-s3XnH9womQ1c293sfWusU7qGHdexaXGTkDKBym3eN3485F7jgs4dwEXKh45AKrDkH7O0va7bvYg,EUROPE
Z2VHu0Qe3Hw79cPAtyV2paD1kKCU2DyplV_20OFc-YIvUlzj-vT2vpPql8yBD2SVYcfWcSlo6jlThw,AMERICAS
Up7RBWMyE8cRaJ7KGfWbe71sZHtDorvXtHU228eGNs4aW5doXT90KXSkuTUTpQl1zIRBD-0EKJ9ZQw,SEA
6gmAXvzQrwo_6N3UQaSGmUtRBWxyT-pBoUJMSTSbm-WUVdycZsbSvjorj54oXfnKaaPh5Z8DsE_Fqw,AMERICAS
xnYzp0GfqbL-Hjjgwv5hvDkjuDQ39U9S7RfphrlOOrrTxBJQ5ss4wSjwyZPJhaS6QnEAEvjHQLukeQ,EUROPE
_njTzk-kEuDbzIuHe5keRJKZEcO4kNV9ZglsTStwsmThht3R11REd12UIQIa1JmFc4_ux9gvXXYrRg,EUROPE
1dng4AQCFg_AYX_p48X_NYzPp9uC5m5ipUEUIzKmGZTGH5hYumJJYJ-wB-NByWImIkzHXtYVk_kXew,EUROPE
69B9fJHgOZbsJAUWul_2eYgk4H-m45nUM69bCiqsm1hvO_Nz42D0ab74afCQncuF3MceQwIVWeMZjg,SEA
T53nKSudcnDV059G7BmkjnKBezalNwD_ehiXvH9PyBTOHDihNtTJXTC1RNeHP4Rzdpnb6z74qXihOA,SEA
mp26DJQwdkx9AUEja23vWe1rPaJUN4dCWkBKAUqZDeTXdNbF0ceWWydW-r6Hwqwkhcg-9uZLuFH8Aw,SEA
2AbrTyOs1J5GGzjLiN8rd1695XD4_ukRmVeCjenBzUZlmgVXEGKM2yeWp1RWBgGMp53KAszqbZah3w,SEA
VCDFJ03pXj_ueXP7yRf2YNBSKtHrpaq1NBm2GVQRvLmhvhFzNIZEQq5YaMPv-n8qv7oF63xLaiiTyA,AMERICAS
wajCeEgDpt9MeEw7TNGT0QDat5-thKgtM9IakZhanfGJC7qMUiLEEUw_j8VdA6DdrMKWDVZTxE_nKQ,SEA
oJMDtUl_amAHOiOuMNj4Wg5wLKELSe7l1AoO6jYjKLJfrJhQo45I8jeoDRLnVRCP7H2G7Hjsamx3wA,ASIA
Rj9e0kkk-uljE3j1ZU_G1HX9VLt3RBzcIbhRXvoGCmPKKYJJyD8bpQPb4SAYp7V4b-2RmWZCNRqyBA,ASIA
r61ahW1d4jwHjG3fgXTOXEUXFXrFAz55bWUfVuVMvzs0esx2que2cUfgS6ycVfSPvnvNw7kgUXgcYQ,EUROPE
wpgpXpsMm7_cqycauWlWM7z-W7Qk2L7JdqrvYnDbwxRbQUAmWE3gdSTV-T9lKjfORAfSJHKqbUSfFw,SEA
3UU21CqpWQp1H5kH4VH1u8nOFLLxk21FaS31cc0Kfq8ixY9tBDU9bzMoRB3g8BWsoNnRIt_y9DuG8w,AMERICAS
2rNb1UvFP00ozBU7ypzpbDzY9DLSIIbFyGr-mw6jekRIuylUPfH5mM_vSoYFFcNF9vGHwa7Iuw-T8g,ASIA
DCmz8KW6Jc4jN_AZArZN0PbHBPmbl9QxIZurguQ-vglGk13ZfiHhKrr19r0GnUMkuWEGrmJopk0rQg,SEA
9R4hRVNQjFV2tdxxs9tDSv4tWm2QUgl4h7VsXdofC3khX3AEBztxoi_1KW7RLaRqxDIVFmQBqhxxfw,EUROPE
cAOVzeIlRNF09fb8qgSGmYBC-rv3wiEhvDoOpJZO0rJZ_SY4Aih7WzDca7aTZ1bFa7ZqmceMA1w_uw,SEA
ByYjyZ3LkWG7YNKMUC1Wkf625KaTKOe1ObPkOfoCShUdxzY99w6KLkORoH2hkzZio5aUz-Er-dOA2Q,AMERICAS
_-qSnkE2h1Fo-pth5yyo1MxJ3wSzuzZl1gyA51tAF5wZdFJlCEtADf8vDNVoW2NRU2iOnNniOrGHeQ,EUROPE
